timestamp,iso_local,detector,event_code,event
1784504383.143,2026-07-19 17:39:43.143,35,81,off
1784504384.949,2026-07-19 17:39:44.949,42,81,off
1784504385.511,2026-07-19 17:39:45.511,8,81,off
1784504386.076,2026-07-19 17:39:46.075,31,81,off
1784504400.629,2026-07-19 17:40:00.628,19,81,off
1784504400.898,2026-07-19 17:40:00.898,33,81,off
1784504401.020,2026-07-19 17:40:01.019,47,82,on
1784504402.058,2026-07-19 17:40:02.057,33,82,on
1784504402.058,2026-07-19 17:40:02.057,34,82,on
1784504402.252,2026-07-19 17:40:02.251,45,82,on
1784504402.252,2026-07-19 17:40:02.251,46,81,off
1784504402.252,2026-07-19 17:40:02.251,47,81,off
1784504403.583,2026-07-19 17:40:03.582,43,82,on
1784504403.583,2026-07-19 17:40:03.582,45,81,off
1784504403.583,2026-07-19 17:40:03.582,46,82,on
1784504403.583,2026-07-19 17:40:03.582,47,82,on
1784504404.784,2026-07-19 17:40:04.784,29,82,on
1784504405.048,2026-07-19 17:40:05.048,33,81,off
1784504405.330,2026-07-19 17:40:05.330,46,81,off
1784504405.330,2026-07-19 17:40:05.330,47,81,off
1784504405.883,2026-07-19 17:40:05.883,2,81,off
1784504405.883,2026-07-19 17:40:05.883,8,82,on
1784504406.149,2026-07-19 17:40:06.148,17,81,off
1784504406.451,2026-07-19 17:40:06.451,33,82,on
1784504406.657,2026-07-19 17:40:06.657,46,82,on
1784504407.196,2026-07-19 17:40:07.195,2,82,on
1784504407.578,2026-07-19 17:40:07.578,17,82,on
1784504408.017,2026-07-19 17:40:08.016,47,82,on
1784504409.094,2026-07-19 17:40:09.093,34,81,off
1784504409.320,2026-07-19 17:40:09.319,47,81,off
1784504410.380,2026-07-19 17:40:10.380,34,82,on
1784504410.533,2026-07-19 17:40:10.532,47,82,on
1784504410.533,2026-07-19 17:40:10.532,48,82,on
1784504411.396,2026-07-19 17:40:11.396,19,82,on
1784504411.653,2026-07-19 17:40:11.653,33,81,off
1784504411.653,2026-07-19 17:40:11.653,34,81,off
1784504411.653,2026-07-19 17:40:11.653,35,82,on
1784504412.404,2026-07-19 17:40:12.403,8,81,off
1784504412.685,2026-07-19 17:40:12.685,19,81,off
1784504412.899,2026-07-19 17:40:12.899,29,81,off
1784504413.097,2026-07-19 17:40:13.097,33,82,on
1784504413.097,2026-07-19 17:40:13.097,34,82,on
1784504413.097,2026-07-19 17:40:13.097,35,81,off
1784504413.318,2026-07-19 17:40:13.318,43,81,off
1784504413.318,2026-07-19 17:40:13.318,46,81,off
1784504413.318,2026-07-19 17:40:13.318,47,81,off
1784504414.740,2026-07-19 17:40:14.740,34,81,off
1784504414.740,2026-07-19 17:40:14.740,36,82,on
1784504414.952,2026-07-19 17:40:14.951,46,82,on
1784504414.952,2026-07-19 17:40:14.951,48,81,off
1784504416.383,2026-07-19 17:40:16.383,33,81,off
1784504416.383,2026-07-19 17:40:16.383,34,82,on
1784504416.583,2026-07-19 17:40:16.582,48,82,on
1784504417.615,2026-07-19 17:40:17.614,19,82,on
1784504418.024,2026-07-19 17:40:18.023,34,81,off
1784504418.024,2026-07-19 17:40:18.023,36,81,off
1784504418.228,2026-07-19 17:40:18.227,47,82,on
1784504419.249,2026-07-19 17:40:19.249,19,81,off
1784504419.649,2026-07-19 17:40:19.649,35,82,on
1784504419.856,2026-07-19 17:40:19.856,47,81,off
1784504419.856,2026-07-19 17:40:19.856,48,81,off
1784504793.948,2026-07-19 17:46:33.948,7,81,off
1784504793.948,2026-07-19 17:46:33.948,8,82,on
1784504794.218,2026-07-19 17:46:34.217,24,81,off
1784504794.487,2026-07-19 17:46:34.487,33,82,on
1784504794.487,2026-07-19 17:46:34.487,35,81,off
1784504794.487,2026-07-19 17:46:34.487,38,81,off
1784504795.144,2026-07-19 17:46:35.144,8,81,off
1784504795.794,2026-07-19 17:46:35.793,36,82,on
1784504798.990,2026-07-19 17:46:38.990,36,81,off
1784504800.227,2026-07-19 17:46:40.226,38,82,on
1784504801.296,2026-07-19 17:46:41.296,24,82,on
1784504804.173,2026-07-19 17:46:44.172,7,82,on
1784504804.572,2026-07-19 17:46:44.572,30,82,on
1784504804.697,2026-07-19 17:46:44.696,35,82,on
1784504806.445,2026-07-19 17:46:46.444,3,82,on
1784504807.033,2026-07-19 17:46:47.032,33,81,off
1784504807.227,2026-07-19 17:46:47.227,41,82,on
1784504807.677,2026-07-19 17:46:47.676,2,81,off
1784504808.194,2026-07-19 17:46:48.193,33,82,on
1784504808.194,2026-07-19 17:46:48.193,34,82,on
1784504808.194,2026-07-19 17:46:48.193,35,81,off
1784504808.684,2026-07-19 17:46:48.683,2,82,on
1784504809.217,2026-07-19 17:46:49.217,34,81,off
1784504809.330,2026-07-19 17:46:49.330,46,81,off
